Id,Month,WeekOfMonth,DayOfWeek,Make,AccidentArea,DayOfWeekClaimed,MonthClaimed,WeekOfMonthClaimed,Sex,MaritalStatus,Age,Fault,PolicyType,VehicleCategory,VehiclePrice,FraudFound_P,PolicyNumber,RepNumber,Deductible,DriverRating,Days_Policy_Accident,Days_Policy_Claim,PastNumberOfClaims,AgeOfVehicle,AgeOfPolicyHolder,PoliceReportFiled,WitnessPresent,AgentType,NumberOfSuppliments,AddressChange_Claim,NumberOfCars,Year,BasePolicy
3842,Apr,4,Friday,Mazda,Urban,Wednesday,May,3,Male,Married,44,Policy Holder,Sedan - Liability,Sport,30000 to 39000,0,3842,7,400,3,more than 30,more than 30,more than 4,7 years,36 to 40,No,No,External,1 to 2,no change,1 vehicle,1994,Liability
3843,Apr,3,Wednesday,Mazda,Rural,Friday,May,1,Male,Single,33,Policy Holder,Sedan - Collision,Sedan,20000 to 29000,0,3843,1,400,1,more than 30,more than 30,none,7 years,31 to 35,No,No,External,more than 5,no change,1 vehicle,1994,Collision
3844,Feb,4,Friday,Toyota,Urban,Tuesday,Mar,4,Male,Married,75,Policy Holder,Sedan - All Perils,Sedan,less than 20000,0,3844,12,400,4,more than 30,more than 30,1,more than 7,over 65,No,No,External,3 to 5,4 to 8 years,2 vehicles,1994,All Perils
3845,Feb,4,Sunday,Mazda,Urban,Tuesday,Mar,2,Male,Married,50,Policy Holder,Sedan - Liability,Sport,30000 to 39000,0,3845,5,700,4,more than 30,more than 30,2 to 4,more than 7,41 to 50,No,No,External,none,no change,1 vehicle,1994,Liability
3846,May,4,Saturday,Pontiac,Urban,Tuesday,May,4,Male,Married,55,Third Party,Sedan - Collision,Sedan,20000 to 29000,0,3846,7,400,4,more than 30,more than 30,1,7 years,41 to 50,No,No,External,1 to 2,no change,1 vehicle,1994,Collision
3847,Oct,5,Monday,Honda,Urban,Tuesday,Oct,5,Male,Single,40,Third Party,Sedan - All Perils,Sedan,less than 20000,0,3847,8,400,2,more than 30,more than 30,none,7 years,36 to 40,No,No,External,1 to 2,no change,1 vehicle,1994,All Perils
3848,Jul,5,Monday,Mazda,Rural,Monday,Jul,5,Male,Single,30,Policy Holder,Sedan - Liability,Sport,30000 to 39000,0,3848,14,400,1,more than 30,more than 30,2 to 4,6 years,31 to 35,No,No,External,more than 5,no change,1 vehicle,1994,Liability
3849,Jul,2,Tuesday,Toyota,Urban,Tuesday,Jul,2,Male,Married,76,Policy Holder,Sedan - Collision,Sedan,30000 to 39000,0,3849,10,400,2,more than 30,more than 30,2 to 4,more than 7,over 65,No,No,External,none,no change,1 vehicle,1994,Collision
3850,Jul,1,Wednesday,Pontiac,Urban,Thursday,Jul,1,Female,Married,36,Policy Holder,Sedan - Liability,Sport,20000 to 29000,0,3850,12,400,3,more than 30,more than 30,more than 4,6 years,36 to 40,No,No,External,1 to 2,no change,1 vehicle,1994,Liability
3851,Jun,5,Wednesday,Honda,Urban,Monday,Jul,2,Male,Single,33,Policy Holder,Sedan - Liability,Sport,20000 to 29000,0,3851,15,400,3,more than 30,more than 30,2 to 4,6 years,31 to 35,No,No,External,3 to 5,no change,1 vehicle,1994,Liability
3852,Jun,4,Monday,Mazda,Urban,Wednesday,Aug,1,Male,Single,21,Policy Holder,Sedan - Collision,Sedan,20000 to 29000,0,3852,6,400,2,none,more than 30,1,5 years,26 to 30,No,No,External,none,no change,1 vehicle,1994,Collision
3853,May,4,Saturday,Chevrolet,Urban,Monday,May,4,Male,Married,52,Policy Holder,Sedan - Liability,Sport,40000 to 59000,0,3853,3,400,1,more than 30,more than 30,2 to 4,more than 7,41 to 50,No,No,External,more than 5,no change,1 vehicle,1994,Liability
3854,Jun,3,Wednesday,Pontiac,Urban,Friday,Jun,3,Female,Single,41,Third Party,Sedan - Collision,Sedan,30000 to 39000,0,3854,2,400,1,more than 30,more than 30,1,7 years,36 to 40,No,No,External,none,no change,1 vehicle,1994,Collision
3855,Jun,3,Thursday,Pontiac,Rural,Tuesday,Jun,3,Male,Married,37,Third Party,Sedan - Liability,Sport,30000 to 39000,0,3855,7,400,2,more than 30,more than 30,2 to 4,more than 7,36 to 40,No,No,External,3 to 5,no change,3 to 4,1994,Liability
3856,Apr,4,Friday,Honda,Urban,Tuesday,May,1,Male,Married,35,Policy Holder,Sport - Collision,Sport,more than 69000,0,3856,6,400,1,more than 30,more than 30,none,5 years,31 to 35,No,No,External,none,no change,1 vehicle,1994,Collision
3857,May,4,Saturday,Honda,Urban,Tuesday,May,4,Male,Single,0,Policy Holder,Sedan - All Perils,Sedan,more than 69000,1,3857,3,400,1,more than 30,more than 30,2 to 4,new,16 to 17,No,No,External,none,no change,1 vehicle,1994,All Perils
3858,Mar,3,Wednesday,Toyota,Urban,Tuesday,Mar,4,Male,Married,51,Third Party,Sedan - All Perils,Sedan,20000 to 29000,0,3858,7,400,3,more than 30,more than 30,none,7 years,41 to 50,No,No,External,none,no change,1 vehicle,1994,All Perils
3859,Oct,4,Thursday,Mazda,Urban,Thursday,Mar,1,Male,Single,25,Policy Holder,Sport - Collision,Sport,more than 69000,0,3859,2,400,2,more than 30,more than 30,2 to 4,5 years,26 to 30,No,No,External,3 to 5,no change,1 vehicle,1994,Collision
3860,Oct,4,Tuesday,Pontiac,Urban,Wednesday,Oct,4,Female,Married,44,Policy Holder,Sedan - Liability,Sport,20000 to 29000,0,3860,10,400,1,more than 30,more than 30,1,7 years,36 to 40,No,No,External,none,no change,1 vehicle,1994,Liability
3861,Sep,3,Sunday,Pontiac,Urban,Thursday,Oct,3,Female,Married,53,Policy Holder,Sedan - All Perils,Sedan,30000 to 39000,0,3861,6,400,1,more than 30,more than 30,1,5 years,41 to 50,No,No,External,more than 5,no change,1 vehicle,1994,All Perils
3862,Aug,4,Friday,Chevrolet,Urban,Tuesday,Aug,5,Male,Married,60,Third Party,Sedan - All Perils,Sedan,30000 to 39000,0,3862,5,400,2,more than 30,more than 30,none,6 years,51 to 65,No,No,External,none,no change,1 vehicle,1994,All Perils
3863,Jul,3,Monday,Pontiac,Urban,Tuesday,Jul,3,Male,Married,29,Policy Holder,Sedan - Collision,Sedan,20000 to 29000,0,3863,2,400,4,more than 30,more than 30,2 to 4,5 years,31 to 35,No,No,External,none,no change,1 vehicle,1994,Collision
3864,Jun,4,Saturday,Pontiac,Urban,Wednesday,Jun,5,Female,Married,63,Third Party,Sedan - All Perils,Sedan,20000 to 29000,0,3864,12,400,2,more than 30,more than 30,1,more than 7,51 to 65,No,No,External,none,no change,1 vehicle,1994,All Perils
3865,Jun,3,Friday,Mazda,Urban,Monday,Jun,3,Male,Married,41,Policy Holder,Sedan - Liability,Sport,20000 to 29000,0,3865,13,400,2,more than 30,more than 30,more than 4,7 years,36 to 40,No,No,External,none,4 to 8 years,2 vehicles,1994,Liability
3866,Jun,2,Thursday,VW,Urban,Friday,Jun,2,Male,Married,64,Policy Holder,Sedan - All Perils,Sedan,more than 69000,0,3866,11,400,4,more than 30,more than 30,2 to 4,more than 7,51 to 65,No,No,External,more than 5,no change,1 vehicle,1994,All Perils
3867,Apr,5,Thursday,Mazda,Urban,Thursday,May,1,Male,Married,59,Third Party,Sedan - All Perils,Sedan,less than 20000,0,3867,8,400,1,more than 30,more than 30,1,more than 7,51 to 65,No,No,External,none,no change,1 vehicle,1994,All Perils
3868,Apr,4,Wednesday,Honda,Urban,Thursday,Apr,5,Male,Married,47,Policy Holder,Sedan - Liability,Sport,20000 to 29000,0,3868,13,400,4,more than 30,more than 30,2 to 4,more than 7,41 to 50,No,No,External,none,no change,1 vehicle,1994,Liability
3869,Apr,4,Tuesday,VW,Urban,Monday,May,1,Male,Married,35,Policy Holder,Sedan - Liability,Sport,more than 69000,0,3869,10,400,4,more than 30,more than 30,2 to 4,6 years,31 to 35,No,No,External,3 to 5,no change,1 vehicle,1994,Liability
3870,Apr,3,Tuesday,Toyota,Urban,Thursday,Apr,4,Male,Single,21,Policy Holder,Sedan - Collision,Sedan,30000 to 39000,0,3870,10,400,1,more than 30,more than 30,2 to 4,5 years,26 to 30,No,No,External,more than 5,no change,1 vehicle,1994,Collision
3871,Apr,2,Sunday,Pontiac,Urban,Tuesday,Apr,2,Male,Married,53,Third Party,Sedan - All Perils,Sedan,20000 to 29000,0,3871,3,400,4,more than 30,more than 30,none,more than 7,41 to 50,No,No,External,none,no change,1 vehicle,1994,All Perils
3872,Apr,2,Thursday,Honda,Urban,Saturday,Apr,2,Male,Married,38,Policy Holder,Sedan - Liability,Sport,20000 to 29000,0,3872,15,400,2,more than 30,more than 30,none,7 years,36 to 40,No,No,External,more than 5,no change,1 vehicle,1994,Liability
3873,Mar,5,Thursday,Pontiac,Rural,Monday,Apr,2,Male,Married,49,Policy Holder,Sedan - Collision,Sedan,30000 to 39000,0,3873,14,400,3,more than 30,more than 30,none,more than 7,41 to 50,No,No,External,1 to 2,no change,1 vehicle,1994,Collision
3874,Mar,4,Saturday,Mazda,Urban,Friday,Apr,1,Male,Married,44,Policy Holder,Sedan - Collision,Sedan,20000 to 29000,0,3874,9,400,4,more than 30,more than 30,1,7 years,36 to 40,No,No,External,1 to 2,no change,1 vehicle,1994,Collision
3875,Mar,4,Monday,Mazda,Urban,Friday,Apr,1,Male,Married,52,Policy Holder,Sedan - Collision,Sedan,30000 to 39000,0,3875,3,400,4,more than 30,more than 30,1,more than 7,41 to 50,No,No,External,more than 5,no change,1 vehicle,1994,Collision
3876,Mar,4,Monday,Pontiac,Urban,Thursday,Jun,5,Male,Married,68,Policy Holder,Sedan - Liability,Sport,20000 to 29000,0,3876,15,700,4,more than 30,more than 30,more than 4,more than 7,over 65,No,No,External,none,no change,1 vehicle,1994,Liability
3877,Mar,1,Friday,Toyota,Urban,Monday,Mar,2,Male,Single,23,Third Party,Sedan - Collision,Sedan,20000 to 29000,0,3877,3,500,2,more than 30,more than 30,2 to 4,6 years,26 to 30,No,No,External,1 to 2,2 to 3 years,1 vehicle,1994,Collision
3878,Mar,1,Thursday,Pontiac,Urban,Tuesday,Mar,2,Male,Married,48,Policy Holder,Sedan - All Perils,Sedan,20000 to 29000,0,3878,12,400,2,more than 30,more than 30,none,7 years,41 to 50,No,No,External,none,no change,1 vehicle,1994,All Perils
3879,Aug,5,Thursday,Pontiac,Rural,Wednesday,Sep,2,Male,Single,37,Policy Holder,Sedan - Collision,Sedan,20000 to 29000,0,3879,7,400,3,more than 30,more than 30,none,7 years,36 to 40,No,No,External,more than 5,no change,1 vehicle,1994,Collision
3880,Apr,2,Saturday,Honda,Rural,Thursday,Apr,4,Male,Married,30,Policy Holder,Sedan - Liability,Sport,30000 to 39000,0,3880,13,400,2,more than 30,more than 30,1,6 years,31 to 35,No,No,External,1 to 2,no change,1 vehicle,1994,Liability
3881,Mar,3,Monday,Mazda,Rural,Tuesday,May,1,Male,Single,48,Policy Holder,Sedan - Collision,Sedan,more than 69000,0,3881,13,400,2,more than 30,more than 30,none,more than 7,41 to 50,No,No,External,none,no change,1 vehicle,1994,Collision
3882,Mar,3,Tuesday,Pontiac,Urban,Tuesday,Mar,3,Male,Married,45,Third Party,Sedan - Collision,Sedan,20000 to 29000,0,3882,12,400,1,more than 30,more than 30,1,7 years,36 to 40,No,No,External,none,no change,1 vehicle,1994,Collision
3883,May,4,Sunday,Mazda,Rural,Wednesday,May,4,Male,Married,45,Third Party,Sport - Collision,Sport,more than 69000,0,3883,6,400,4,more than 30,more than 30,none,7 years,36 to 40,No,No,External,none,no change,1 vehicle,1994,Collision
3884,Mar,1,Sunday,Pontiac,Urban,Monday,Mar,1,Male,Married,59,Policy Holder,Sedan - All Perils,Sedan,less than 20000,0,3884,10,400,3,more than 30,more than 30,none,more than 7,51 to 65,No,No,External,none,no change,1 vehicle,1994,All Perils
3885,May,4,Monday,Toyota,Urban,Tuesday,May,4,Male,Married,65,Policy Holder,Sedan - All Perils,Sedan,20000 to 29000,1,3885,15,400,2,more than 30,more than 30,1,more than 7,51 to 65,No,No,External,more than 5,no change,1 vehicle,1994,All Perils
3886,Feb,3,Monday,Chevrolet,Urban,Tuesday,Feb,4,Male,Single,34,Policy Holder,Sedan - Liability,Sport,20000 to 29000,0,3886,2,400,4,more than 30,more than 30,1,6 years,31 to 35,No,No,External,more than 5,4 to 8 years,2 vehicles,1994,Liability
3887,Jun,3,Thursday,Chevrolet,Urban,Thursday,Jun,3,Female,Single,31,Third Party,Sedan - All Perils,Sedan,20000 to 29000,0,3887,13,400,1,more than 30,more than 30,1,6 years,31 to 35,No,No,External,1 to 2,no change,1 vehicle,1994,All Perils
3888,Jun,2,Friday,Pontiac,Urban,Friday,Jun,2,Male,Married,29,Policy Holder,Sedan - Collision,Sedan,30000 to 39000,0,3888,5,400,2,more than 30,more than 30,1,7 years,31 to 35,No,No,External,none,no change,1 vehicle,1994,Collision
3889,May,4,Monday,Pontiac,Urban,Wednesday,May,4,Male,Married,44,Third Party,Sedan - All Perils,Sedan,20000 to 29000,0,3889,5,400,3,8 to 15,8 to 15,none,more than 7,36 to 40,No,No,External,none,no change,1 vehicle,1994,All Perils
3890,Apr,1,Saturday,Mazda,Urban,Tuesday,Apr,1,Male,Married,44,Policy Holder,Sedan - Collision,Sedan,20000 to 29000,0,3890,9,400,3,more than 30,more than 30,2 to 4,7 years,36 to 40,No,No,External,3 to 5,no change,1 vehicle,1994,Collision
3891,Apr,1,Saturday,Mazda,Urban,Friday,Apr,2,Male,Single,27,Policy Holder,Sedan - All Perils,Sedan,30000 to 39000,0,3891,5,400,3,more than 30,more than 30,2 to 4,5 years,31 to 35,No,No,External,none,no change,1 vehicle,1994,All Perils
3892,Feb,4,Tuesday,Dodge,Urban,Tuesday,Feb,4,Male,Married,39,Policy Holder,Sedan - Liability,Sport,30000 to 39000,0,3892,14,400,4,more than 30,more than 30,2 to 4,7 years,36 to 40,No,No,External,none,no change,1 vehicle,1994,Liability
3893,Feb,3,Thursday,Pontiac,Urban,Monday,Feb,4,Male,Married,54,Policy Holder,Utility - All Perils,Utility,more than 69000,0,3893,2,400,4,more than 30,more than 30,more than 4,more than 7,41 to 50,No,No,External,none,no change,1 vehicle,1994,All Perils
3894,Feb,2,Thursday,Chevrolet,Urban,Monday,Feb,3,Male,Single,35,Third Party,Sedan - Collision,Sedan,30000 to 39000,0,3894,5,400,2,more than 30,more than 30,none,6 years,31 to 35,No,No,External,more than 5,no change,1 vehicle,1994,Collision
3895,Mar,2,Tuesday,Toyota,Urban,Thursday,Mar,3,Female,Divorced,43,Policy Holder,Sedan - All Perils,Sedan,less than 20000,0,3895,3,400,4,more than 30,more than 30,1,7 years,36 to 40,No,No,External,none,no change,1 vehicle,1994,All Perils
3896,Mar,2,Tuesday,Pontiac,Urban,Wednesday,Mar,2,Male,Married,44,Policy Holder,Sedan - All Perils,Sedan,20000 to 29000,0,3896,4,400,3,more than 30,more than 30,2 to 4,more than 7,36 to 40,No,No,External,more than 5,no change,3 to 4,1994,All Perils
3897,Mar,2,Monday,Pontiac,Urban,Tuesday,Mar,2,Male,Single,26,Policy Holder,Sedan - Collision,Sedan,20000 to 29000,0,3897,8,400,1,more than 30,more than 30,1,6 years,31 to 35,No,No,External,none,no change,1 vehicle,1994,Collision
3898,May,4,Monday,Saab,Urban,Friday,Jun,1,Male,Married,45,Third Party,Sedan - Collision,Sedan,30000 to 39000,0,3898,3,400,1,more than 30,more than 30,none,more than 7,36 to 40,No,No,External,none,no change,1 vehicle,1994,Collision
3899,Apr,2,Thursday,Honda,Rural,Tuesday,Apr,2,Male,Single,0,Policy Holder,Sedan - Collision,Sedan,more than 69000,0,3899,7,400,4,more than 30,more than 30,1,new,16 to 17,No,No,External,none,no change,1 vehicle,1994,Collision
3900,Jan,2,Monday,Mazda,Urban,Monday,Jan,2,Male,Married,51,Policy Holder,Utility - All Perils,Utility,more than 69000,0,3900,13,400,4,more than 30,more than 30,2 to 4,7 years,41 to 50,No,No,External,more than 5,no change,1 vehicle,1994,All Perils
3901,Jan,4,Tuesday,Mazda,Urban,Tuesday,Jan,4,Male,Single,45,Third Party,Sedan - All Perils,Sedan,30000 to 39000,0,3901,15,400,1,more than 30,more than 30,2 to 4,7 years,36 to 40,No,No,External,none,no change,1 vehicle,1994,All Perils
3902,Jan,4,Tuesday,Honda,Urban,Wednesday,Jan,4,Male,Married,34,Policy Holder,Sport - Collision,Sport,more than 69000,0,3902,6,400,2,more than 30,more than 30,1,6 years,31 to 35,No,No,External,1 to 2,no change,1 vehicle,1994,Collision
3903,Feb,1,Sunday,Pontiac,Urban,Wednesday,Feb,2,Male,Married,21,Third Party,Sedan - Liability,Sport,20000 to 29000,0,3903,9,400,3,more than 30,more than 30,1,5 years,26 to 30,No,No,External,3 to 5,no change,1 vehicle,1994,Liability
3904,Feb,2,Wednesday,Dodge,Urban,Tuesday,Feb,3,Male,Married,42,Third Party,Sedan - Liability,Sport,30000 to 39000,0,3904,12,400,1,more than 30,more than 30,none,7 years,36 to 40,No,No,External,more than 5,no change,1 vehicle,1994,Liability
3905,Feb,2,Wednesday,Toyota,Rural,Thursday,Feb,2,Male,Single,34,Policy Holder,Sedan - Collision,Sedan,more than 69000,0,3905,14,400,4,more than 30,more than 30,2 to 4,5 years,31 to 35,No,No,External,more than 5,no change,1 vehicle,1994,Collision
3906,Feb,4,Monday,Mazda,Urban,Monday,Feb,4,Female,Single,31,Policy Holder,Sedan - Liability,Sport,20000 to 29000,0,3906,8,400,4,more than 30,more than 30,more than 4,5 years,31 to 35,No,No,External,3 to 5,no change,5 to 8,1994,Liability
3907,Feb,3,Sunday,Pontiac,Urban,Wednesday,Feb,4,Female,Single,30,Policy Holder,Sedan - Liability,Sport,20000 to 29000,0,3907,10,400,1,more than 30,more than 30,more than 4,6 years,31 to 35,No,No,External,3 to 5,4 to 8 years,2 vehicles,1994,Liability
3908,Mar,1,Wednesday,Mazda,Urban,Wednesday,Mar,2,Female,Single,28,Third Party,Sport - Collision,Sport,more than 69000,0,3908,11,400,4,more than 30,more than 30,none,7 years,31 to 35,No,No,External,none,no change,1 vehicle,1994,Collision
3909,Mar,2,Monday,Accura,Urban,Monday,Mar,2,Male,Married,39,Policy Holder,Sedan - Collision,Sedan,30000 to 39000,0,3909,4,400,4,more than 30,more than 30,1,7 years,36 to 40,No,No,External,none,no change,1 vehicle,1994,Collision
3910,Jan,3,Thursday,Pontiac,Urban,Thursday,Jan,3,Male,Single,33,Policy Holder,Sedan - Liability,Sport,20000 to 29000,0,3910,12,400,3,more than 30,more than 30,2 to 4,5 years,31 to 35,No,No,External,none,no change,1 vehicle,1994,Liability
3911,Feb,1,Sunday,Pontiac,Urban,Monday,Feb,1,Male,Married,34,Policy Holder,Sedan - All Perils,Sedan,30000 to 39000,0,3911,7,400,2,more than 30,more than 30,none,7 years,31 to 35,No,No,External,more than 5,no change,1 vehicle,1994,All Perils
3912,Feb,1,Friday,Mazda,Urban,Tuesday,Feb,4,Male,Married,74,Policy Holder,Sedan - Collision,Sedan,30000 to 39000,0,3912,9,400,3,more than 30,more than 30,2 to 4,more than 7,over 65,No,No,External,3 to 5,no change,1 vehicle,1994,Collision
3913,Feb,3,Wednesday,Mercury,Urban,Tuesday,Feb,4,Male,Married,41,Policy Holder,Sedan - Collision,Sedan,20000 to 29000,0,3913,4,400,1,more than 30,more than 30,1,more than 7,36 to 40,No,No,External,none,no change,1 vehicle,1994,Collision
3914,Feb,3,Thursday,Pontiac,Urban,Friday,Feb,3,Male,Married,57,Policy Holder,Sedan - Collision,Sedan,30000 to 39000,0,3914,7,400,2,more than 30,more than 30,1,more than 7,51 to 65,No,No,External,none,1 year,1 vehicle,1994,Collision
3915,Feb,3,Saturday,Pontiac,Urban,Thursday,Feb,4,Male,Married,55,Policy Holder,Sedan - Collision,Sedan,30000 to 39000,0,3915,16,400,1,more than 30,more than 30,none,5 years,41 to 50,No,No,External,3 to 5,no change,1 vehicle,1994,Collision
3916,Feb,3,Thursday,Saturn,Urban,Monday,Feb,3,Male,Single,64,Policy Holder,Sedan - Liability,Sport,60000 to 69000,0,3916,6,400,3,more than 30,more than 30,2 to 4,more than 7,51 to 65,No,No,External,more than 5,no change,1 vehicle,1994,Liability
3917,Feb,3,Saturday,Toyota,Urban,Tuesday,Feb,4,Male,Married,40,Policy Holder,Sedan - All Perils,Sedan,less than 20000,0,3917,10,400,2,more than 30,more than 30,1,more than 7,36 to 40,No,No,External,3 to 5,no change,1 vehicle,1994,All Perils
3918,May,4,Monday,Chevrolet,Urban,Monday,May,4,Male,Married,41,Third Party,Sedan - Collision,Sedan,more than 69000,0,3918,3,400,4,more than 30,more than 30,1,more than 7,36 to 40,No,No,External,more than 5,no change,1 vehicle,1994,Collision
3919,Feb,4,Thursday,Chevrolet,Urban,Friday,Feb,4,Male,Married,57,Policy Holder,Sedan - Liability,Sport,30000 to 39000,0,3919,3,400,2,more than 30,more than 30,more than 4,more than 7,51 to 65,No,No,External,more than 5,no change,1 vehicle,1994,Liability
3920,Feb,4,Thursday,Honda,Urban,Thursday,Mar,1,Male,Single,31,Policy Holder,Sedan - Liability,Sport,more than 69000,0,3920,4,400,2,more than 30,more than 30,more than 4,new,31 to 35,No,No,External,none,no change,1 vehicle,1994,Liability
3921,Feb,4,Wednesday,Dodge,Urban,Monday,Feb,4,Male,Single,35,Third Party,Sedan - Collision,Sedan,30000 to 39000,0,3921,7,400,2,more than 30,more than 30,none,7 years,31 to 35,No,No,External,more than 5,no change,1 vehicle,1994,Collision
3922,Feb,4,Friday,Pontiac,Urban,Friday,Feb,4,Male,Single,31,Policy Holder,Sedan - Liability,Sport,30000 to 39000,0,3922,12,400,3,more than 30,more than 30,2 to 4,7 years,31 to 35,No,No,External,more than 5,no change,1 vehicle,1994,Liability
3923,Feb,4,Saturday,Chevrolet,Urban,Monday,Feb,4,Male,Married,45,Policy Holder,Sedan - Liability,Sport,40000 to 59000,0,3923,13,400,4,more than 30,more than 30,more than 4,7 years,36 to 40,No,No,External,none,no change,1 vehicle,1994,Liability
3924,May,4,Monday,Mercury,Urban,Wednesday,May,4,Male,Married,27,Third Party,Sedan - Collision,Sedan,20000 to 29000,0,3924,6,400,2,more than 30,more than 30,none,6 years,31 to 35,No,No,External,3 to 5,no change,1 vehicle,1994,Collision
3925,Mar,1,Saturday,Ford,Rural,Wednesday,Mar,2,Male,Married,51,Third Party,Sedan - All Perils,Sedan,more than 69000,0,3925,14,400,3,more than 30,more than 30,none,more than 7,41 to 50,No,No,External,more than 5,no change,1 vehicle,1994,All Perils
3926,Mar,5,Friday,Chevrolet,Urban,Monday,Apr,1,Male,Married,48,Policy Holder,Sedan - Liability,Sport,30000 to 39000,0,3926,2,400,3,more than 30,more than 30,2 to 4,7 years,41 to 50,No,No,External,none,no change,1 vehicle,1994,Liability
3927,May,4,Monday,Mazda,Urban,Tuesday,May,4,Male,Single,32,Policy Holder,Sedan - Collision,Sedan,20000 to 29000,1,3927,2,400,1,more than 30,more than 30,2 to 4,6 years,31 to 35,No,No,External,none,no change,1 vehicle,1994,Collision
3928,Nov,1,Monday,Chevrolet,Urban,Tuesday,Nov,3,Male,Married,48,Policy Holder,Utility - All Perils,Utility,more than 69000,0,3928,14,500,1,more than 30,more than 30,more than 4,more than 7,41 to 50,No,No,External,none,2 to 3 years,2 vehicles,1994,All Perils
3929,Nov,1,Wednesday,Toyota,Urban,Tuesday,Nov,3,Female,Single,33,Policy Holder,Sedan - Collision,Sedan,20000 to 29000,0,3929,5,400,4,more than 30,more than 30,1,5 years,31 to 35,No,No,External,more than 5,no change,1 vehicle,1994,Collision
3930,May,4,Monday,Honda,Urban,Tuesday,Jun,2,Male,Single,19,Third Party,Sport - Collision,Sport,more than 69000,0,3930,11,400,1,more than 30,more than 30,none,5 years,21 to 25,No,No,External,none,no change,1 vehicle,1994,Collision
3931,Jun,5,Wednesday,Accura,Rural,Saturday,Jul,1,Male,Married,41,Third Party,Sedan - Collision,Sedan,30000 to 39000,0,3931,14,400,2,more than 30,more than 30,none,7 years,36 to 40,No,No,External,3 to 5,no change,1 vehicle,1994,Collision
3932,Jun,5,Wednesday,Pontiac,Urban,Saturday,Jul,1,Male,Married,36,Policy Holder,Sedan - Liability,Sport,30000 to 39000,0,3932,11,400,1,more than 30,more than 30,2 to 4,7 years,36 to 40,No,No,External,none,no change,1 vehicle,1994,Liability
3933,Jun,3,Sunday,Toyota,Rural,Monday,Jun,3,Female,Single,57,Third Party,Sedan - All Perils,Sedan,less than 20000,0,3933,8,400,4,more than 30,more than 30,none,7 years,51 to 65,No,No,External,none,no change,1 vehicle,1994,All Perils
3934,Jun,3,Monday,Toyota,Urban,Wednesday,Jul,3,Male,Married,43,Third Party,Sedan - Collision,Sedan,20000 to 29000,0,3934,2,400,2,more than 30,more than 30,1,7 years,36 to 40,No,No,External,none,no change,1 vehicle,1994,Collision
3935,Apr,2,Tuesday,Toyota,Urban,Monday,May,2,Male,Married,52,Policy Holder,Sedan - Liability,Sport,more than 69000,0,3935,16,400,3,more than 30,more than 30,2 to 4,7 years,41 to 50,No,No,External,more than 5,no change,1 vehicle,1994,Liability
3936,Mar,4,Monday,Mazda,Urban,Tuesday,Apr,1,Male,Married,41,Policy Holder,Sedan - Liability,Sport,more than 69000,0,3936,15,400,3,more than 30,more than 30,2 to 4,more than 7,36 to 40,No,No,External,none,no change,1 vehicle,1994,Liability
3937,Mar,5,Tuesday,Chevrolet,Urban,Wednesday,Mar,5,Male,Married,37,Policy Holder,Sedan - Liability,Sport,20000 to 29000,0,3937,6,400,2,more than 30,more than 30,2 to 4,more than 7,36 to 40,No,No,External,1 to 2,no change,3 to 4,1994,Liability
3938,May,4,Tuesday,Pontiac,Urban,Tuesday,May,5,Male,Married,34,Third Party,Sedan - All Perils,Sedan,less than 20000,0,3938,3,400,1,more than 30,more than 30,2 to 4,6 years,31 to 35,No,No,External,more than 5,no change,1 vehicle,1994,All Perils
3939,Mar,2,Tuesday,Honda,Urban,Tuesday,Mar,2,Male,Single,34,Policy Holder,Sedan - Liability,Sport,30000 to 39000,0,3939,15,400,2,more than 30,more than 30,none,6 years,31 to 35,No,No,External,1 to 2,no change,1 vehicle,1994,Liability
3940,May,4,Tuesday,Accura,Urban,Tuesday,May,4,Male,Married,45,Policy Holder,Sedan - Liability,Sport,40000 to 59000,1,3940,8,400,1,more than 30,more than 30,2 to 4,7 years,36 to 40,No,No,External,none,no change,1 vehicle,1994,Liability
3941,Mar,1,Sunday,Mazda,Urban,Monday,Mar,1,Male,Single,33,Policy Holder,Sedan - Collision,Sedan,20000 to 29000,0,3941,4,400,4,more than 30,more than 30,1,6 years,31 to 35,No,No,External,none,no change,1 vehicle,1994,Collision
3942,Mar,1,Monday,Chevrolet,Urban,Tuesday,Mar,2,Male,Married,46,Policy Holder,Sedan - All Perils,Sedan,more than 69000,0,3942,12,400,1,more than 30,more than 30,2 to 4,more than 7,41 to 50,No,No,External,none,no change,1 vehicle,1994,All Perils
3943,Mar,1,Friday,Toyota,Urban,Thursday,Mar,2,Male,Single,33,Policy Holder,Sedan - Liability,Sport,20000 to 29000,0,3943,16,400,3,more than 30,more than 30,2 to 4,6 years,31 to 35,No,No,External,more than 5,no change,1 vehicle,1994,Liability
3944,Feb,5,Tuesday,Pontiac,Urban,Tuesday,Feb,5,Female,Single,52,Policy Holder,Sedan - Liability,Sport,less than 20000,0,3944,10,400,3,more than 30,more than 30,1,more than 7,41 to 50,No,No,External,none,no change,1 vehicle,1994,Liability
3945,Feb,4,Saturday,Honda,Urban,Tuesday,Mar,2,Female,Single,27,Policy Holder,Sedan - Liability,Sport,20000 to 29000,0,3945,5,400,4,more than 30,more than 30,1,7 years,31 to 35,No,No,External,1 to 2,no change,1 vehicle,1994,Liability
